ENV,ENV Link,   Date,                Bundle Vers-Nexus,            SVN Rev,            JDK,                Jenkins Job,                  SVN Tag,            kuali-common,       kuali-pom latest,   Shrub               
1, [env1.rice.kuali.org|http://env1.rice.kuali.org],2013-03-22.05:18,   [2.3.0-r37837|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.3.0-r37837*~~], 37843,              1.6.0_35,          [rice-2.3-nightly|http://ci.rice.kuali.org/job/rice-2.3-nightly](SUCCESS),[tags/builds/rice-2.3/2.3.0/20130322-r37837/rice-middleware/sampleapp|http://svn.kuali.org/repos/rice/tags/builds/rice-2.3/2.3.0/20130322-r37837/rice-middleware/sampleapp].,[2.1.41|http://svn.kuali.org/repos/rice/tags/builds/rice-2.3/2.3.0/20130322-r37837/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.3.0-r37837|http://shrub.appspot.com/maven.kuali.org/builds/org/kuali/rice/rice-sampleapp/2.3.0-r37837]
2, [env2.rice.kuali.org|http://env2.rice.kuali.org],2013-03-22.05:48,   [2.3.0-r37837|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.3.0-r37837*~~], 37843,              1.6.0_35,          [rice-2.3-nightly|http://ci.rice.kuali.org/job/rice-2.3-nightly](SUCCESS),[tags/builds/rice-2.3/2.3.0/20130322-r37837/rice-middleware/sampleapp|http://svn.kuali.org/repos/rice/tags/builds/rice-2.3/2.3.0/20130322-r37837/rice-middleware/sampleapp].,[2.1.41|http://svn.kuali.org/repos/rice/tags/builds/rice-2.3/2.3.0/20130322-r37837/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.3.0-r37837|http://shrub.appspot.com/maven.kuali.org/builds/org/kuali/rice/rice-sampleapp/2.3.0-r37837]
3, [env3.rice.kuali.org|http://env3.rice.kuali.org],2012-11-27.18:57,   [2.2.0-rc2-SNAPSHOT|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.2.0-rc2-SNAPSHOT*~~], 35958,              1.6.0_35,          ,                             [trunk/sampleapp|http://svn.kuali.org/repos/rice/trunk/sampleapp].,[2.1.41|http://svn.kuali.org/repos/rice/trunk/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.2.0-rc2-SNAPSHOT|http://shrub.appspot.com/maven.kuali.org/snapshot/org/kuali/rice/rice-sampleapp/2.2.0-rc2-SNAPSHOT]
4, [env4.rice.kuali.org|http://env4.rice.kuali.org],2012-06-26.00:48,   [2.1.1-build-529|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.1.1-build-529*~~], 33130,              1.6.0_29,          ,                             [trunk/sampleapp|http://svn.kuali.org/repos/rice/trunk/sampleapp].,[2.1.41|http://svn.kuali.org/repos/rice/trunk/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.1.1-build-529|http://shrub.appspot.com/maven.kuali.org/builds/org/kuali/rice/rice-sampleapp/2.1.1-build-529]
5, [env5.rice.kuali.org|http://env5.rice.kuali.org],2012-05-15.00:01,   [2.0.2-20120515-build-53|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.0.2-20120515-build-53*~~], 32406,              1.6.0_29,          ,                             [branches/rice-2.0/standalone|http://svn.kuali.org/repos/rice/branches/rice-2.0/standalone].,[1.7.6|http://svn.kuali.org/repos/rice/branches/rice-2.0/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.0.2-20120515-build-53|http://shrub.appspot.com/maven.kuali.org/builds/org/kuali/rice/rice-standalone/2.0.2-20120515-build-53]
6, [demo.rice.kuali.org|http://demo.rice.kuali.org],2013-02-22.22:39,   [2.2.1|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.2.1*~~], 37343,              1.6.0_35,          ,                             [tags/rice-2.2.1/sampleapp|http://svn.kuali.org/repos/rice/tags/rice-2.2.1/sampleapp].,[2.1.41|http://svn.kuali.org/repos/rice/tags/rice-2.2.1/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.2.1|http://shrub.appspot.com/maven.kuali.org/release/org/kuali/rice/rice-sampleapp/2.2.1]
7, [env7.rice.kuali.org|http://env7.rice.kuali.org],2013-03-22.05:14,   [2.2.2-r37837|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.2.2-r37837*~~], 37841,              1.6.0_35,          [rice-2.2-nightly|http://ci.rice.kuali.org/job/rice-2.2-nightly](SUCCESS),[tags/builds/rice-2.2/2.2.2/20130322-r37837/sampleapp|http://svn.kuali.org/repos/rice/tags/builds/rice-2.2/2.2.2/20130322-r37837/sampleapp].,[2.1.41|http://svn.kuali.org/repos/rice/tags/builds/rice-2.2/2.2.2/20130322-r37837/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.2.2-r37837|http://shrub.appspot.com/maven.kuali.org/builds/org/kuali/rice/rice-sampleapp/2.2.2-r37837]
8, [env8.rice.kuali.org|http://env8.rice.kuali.org],2013-03-22.05:12,   [2.1.4-r37837|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.1.4-r37837*~~], 37840,              1.6.0_35,          [rice-2.1-nightly|http://ci.rice.kuali.org/job/rice-2.1-nightly](SUCCESS),[tags/builds/rice-2.1/2.1.4/20130322-r37837/sampleapp|http://svn.kuali.org/repos/rice/tags/builds/rice-2.1/2.1.4/20130322-r37837/sampleapp].,[2.0.7|http://svn.kuali.org/repos/rice/tags/builds/rice-2.1/2.1.4/20130322-r37837/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.1.4-r37837|http://shrub.appspot.com/maven.kuali.org/builds/org/kuali/rice/rice-sampleapp/2.1.4-r37837]
9, [env9.rice.kuali.org|http://env9.rice.kuali.org],20110909-0201.,     [1.0.3.3|http://nexus.kuali.org/index.html#nexus-search;gav~~~1.0.3.3*~~], 22368,              1.6.0_25,          ,                             [branches/rice-1.0/web|http://svn.kuali.org/repos/rice/branches/rice-1.0/web].,[1.7.6|http://svn.kuali.org/repos/rice/branches/rice-1.0/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[1.0.3.3|http://shrub.appspot.com/maven.kuali.org/release/org/kuali/rice/rice-web/1.0.3.3]
10,[env10.rice.kuali.org|http://env10.rice.kuali.org],2012-10-01.18:55,   [2.2.0-M4|http://nexus.kuali.org/index.html#nexus-search;gav~~~2.2.0-M4*~~], 35069,              1.6.0_35,          ,                             [tags/rice-2.2.0-M4/sampleapp|http://svn.kuali.org/repos/rice/tags/rice-2.2.0-M4/sampleapp].,[1.7.10|http://svn.kuali.org/repos/rice/tags/rice-2.2.0-M4/pom.xml],[2.3.7|http://maven.kuali.org.s3.amazonaws.com/release/org/kuali/pom/kuali-pom/2.3.7/kuali-pom-2.3.7.pom],[2.2.0-M4|http://shrub.appspot.com/maven.kuali.org/release/org/kuali/rice/rice-sampleapp/2.2.0-M4]
